"startupname","startupurl","desc"
"TripLingo","http://www.triplingo.com/","Customized language and culture learning for travelers  TripLingo upgrades trips for business and leisure travelers by making it easy and fun to learn the local language and culture by providing customized relevant phrases and content on your smartphone and the web. TripLingo provides travelers with a quick, easy, and ..."
"Pindrop Security","http://www.pindropsecurity.com/","Securing the Audio Channel, Fighting Bad Guys Pindrop Security stops phone fraud. Pindrop invented acoustical fingerprinting technology that reliably detects fraudulent callers eliminating losses and efficiently authenticates legitimate callers reducing operational cost. Basically we're stopping the bad guys ..."
"Attentive.ly","http://attentive.ly/","We help companies monitor customers on the social web to deliver personalized marketing. Attentive.ly reveals what your email marketing list is saying on social media and who has influence. Attentive.ly makes it easy to target the right message to the right people by identifying influentials, as well as trending topics, hashtags, and shared URLs. Using ..."
"viaCycle","http://www.viacycle.com/","Zipcar for bicycles. Call or text, unlock, and ride. (YC S12) viaCycle creates bicycle sharing technology that is flexible, inexpensive, and easy to use. Users can unlock our smart bikes instantly using their cell phone. Operators can place bikes anywhere, with no kiosks or special infrastructure required. We enable bike ..."
"Whynatte","http://www.whynatte.com/","The name brand ready-to-drink coffee used as a mixer. True innovation in the mixer market. The Whynatte Latte is a non alcoholic ready to drink (RTD) coffee based energy drink that is specifically formulated to mix well with a wide variety of spirits. It represents true innovation in the mixer market that is driven largely by brands that have existed ..."
"MOVL","http://movl.com/","Connecting Mobile Devices and SmartTVs The MOVL Connect Platform and KontrolTV provide the tools and the gateway for Second Screen TV Apps, allowing developers to easily create and monetize multi-screen, multi-user, compatible solutions for the SmartTV market. Create your application once and seamlessly ..."
"We&Co_","http://www.weand.co/","People Analytics for Hospitality We&Co provides People Analytics to the Hospitality industry to allow them to better recruit, retain, and motivate staff. Our tools gather data on hospitality professionals ranging from work history to social data to point of sale data. This allows our customers ..."
"AT&T Wireless","http://www.cingular.com/"," "
"DueProps","http://dueprops.com/","Gamifying the $46 Billion Employee Incentives and Motivation Market DueProps fosters continual positive reinforcement to encourage good employee behavior via recognition and fair apportioning of bonus pools. Crucially, our game elements encourage high employee engagement and enthusiasm levels over time. Managers get unprecedented ..."
"Invitation.Codes","https://invitation.codes/?utm_source=startupslist&utm_medium=partner&utm_campaign=alpha","Put your invite codes to work InvitationCode is a free tool for maximizing your rewards from referrals, whether you’re a blogger, an early-adopter or just an helpful friend. Download a list of apps that pay generous comissions."
"Campus Bubble","http://thecampusbubble.com/","Your Academic Identity Campus Bubble (“CB”) is the Academic Community Network just as LinkedIn is the professional community network, and Facebook is the social community network. CB provides academic institutions with a student powered, cross platform, private online community, focused ..."
"The Coca-Cola Company","http://coca-colacompany.com/"," Coca-Cola Journey is a digital magazine that focuses on important topics, social causes and news about The Coca-Cola Company."
"CloudTags","http://www.cloudtags.com/","Customers curate collections in a physical store using location-aware tablets. Physical store retailers have little idea of who the shoppers in their stores are or what they are considering, prior to purchase. They only know if a shopper bought something. CloudTags solves this by allowing physical store shoppers to create digital collections ..."
"MOWGLI","http://www.mowgligames.com/","We are a game company founded on the mission of connecting people through social creation. Mowgli’s first game, Songster, is the first and only music creation social game on Facebook. It enables anyone, regardless of musical talent, to create truly great songs. This is done by easily placing loops of musical content together like building blocks. These ..."
"Insightpool","http://www.insightpool.com/","The Social Relationship Intelligence Platform Insightpool is the audience cultivation and conversion platform used by the world’s most innovative companies. Insightpool’s platform intelligently predicts the ideal people and precise actions to drive measurable impact. Through proprietary predictive analytics ..."
"First Data Corporation","http://www.firstdata.com/"," "
