venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
SOSV,"SOSV (formerly SOS Ventures) is a venture capital firm founded in 1995 by Sean O'Sullivan that provides growth, seed, and venture capital funding to startups. SOSV runs six seed accelerator programs: ",Arvind K Gupta Bill Liao Cyril Ebersweiler Sean O'Sullivan (engineer) Shawn Broderick William Bao Bean Stephen McCann (entrepreneur) Alan Clayton Benjamin Joffe ,1-Jan-95,sosv.com/blog ,sosv.com,@sosvvc,Princeton 
Sequoia Capital,HAX Accelerator,1-Jan-95,1972,sequoiacap.com/build/ ,sequoiacap.com,@sequoia,"Menlo Park, California United States "
Amgen,Chinaccelerator,1972,1980, ,amgen.com,@amgen,"West Greenwich, Rhode Island Mississauga South San Francisco, California Thousand Oaks, California Burnaby Cambridge, Massachusetts Woburn, Massachusetts "
500 Startups,IndieBio,1980, ,500.co/blog/ ,500.co,@500startups,"Mountain View, California San Francisco "
Pfizer,Food-X, , , ,pfizer.com,@pfizer,New York City 
Andreessen Horowitz (a16z),?,6-Jul-09,6-Jul-09,a16z.com/news/ ,a16z.com,@a16z,"Menlo Park, California "
Atlas Venture,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company founded in 1980 with headquarters in Thousand Oaks, California. ",1980,1980, ,atlasventure.com,@atlasventure,"Cambridge, Massachusetts "
Aspect Ventures,500 Startups is a venture capital firm discovering and backing entrepreneurs.,Feb-14,Feb-14, ,aspectventures.com,@aspectvc,"Palo Alto, California San Francisco "
Y Combinator,American multinational pharmaceutical corporation, , ,blog.ycombinator.com ,ycombinator.com,@ycombinator,"Mountain View, California "
Alsop Louie Partners,"Andreessen Horowitz (also named a16z) is a US venture capital firm, founded by Marc Andresseen and Ben Horowitz in 2009.",1-Dec-06,1-Dec-06, ,alsop-louie.com,@alsoplouie,San Francisco 
CBS Interactive,Atlas Venture creates and invests in biotech startup companies in the U.S. with seed and early stage venture investments.,12-Apr-07,12-Apr-07, ,cbsinteractive.com,@CBSi,San Francisco 
Advanced Technology Ventures,Aspect Ventures is an American venture capital firm.,1979,1979, ,atvcapital.com,@atvcapital,"Menlo Park, California 500 Boylston Street "
Arthur Ventures,"Y Combinator (also known as YC) is a US based seed accelerator, which was started in March 2005.",2012,2012, ,arthurventures.com,@arthurventures,"Saint Paul, Minnesota Minneapolis Fargo, North Dakota "
Techstars,Alsop Louie Partners is an early-stage technology venture capital firm.,2006,2006,techstars.com/content ,techstars.com,@techstars,"Boulder, Colorado "
Amplify Partners,American company,1-Jan-12,1-Jan-12, ,amplifypartners.com,@amplifypartners,"Menlo Park, California Silicon Valley "
